vehicle_age,odometer_km,days_since_service,battery_voltage,engine_temp,brake_wear_pct,tire_pressure_avg,oil_life_pct,maintenance_required
4.2,54741,142,12.66,99.1,27.5,29.8,24.6,0
6.5,96724,210,12.15,96.1,29.1,32.8,12.9,1
8.6,115125,80,12.13,90.7,61.6,31.0,60.1,0
4.7,77792,228,12.48,88.3,70.4,26.8,2.0,1
11.7,179465,280,12.56,77.8,92.5,25.4,12.5,1
11.6,198823,46,12.44,84.0,54.3,33.2,84.3,0
3.4,51327,450,12.49,103.4,5.0,30.7,5.4,1
6.2,91365,54,13.11,82.7,5.0,30.7,80.2,0
4.0,53496,53,12.83,92.2,14.1,34.7,97.4,0
3.8,58310,45,12.44,97.5,44.4,36.3,99.4,0
0.9,15956,270,12.77,82.8,40.0,31.6,2.0,1
7.5,122919,127,11.89,92.2,61.5,31.4,52.7,0
6.3,75512,39,12.53,97.1,64.1,34.1,84.3,0
1.1,24842,96,13.16,91.1,47.8,28.2,57.0,0
3.7,73601,149,12.25,109.6,55.0,33.2,8.6,1
10.9,168491,49,11.97,80.2,86.2,34.3,73.8,0
3.3,70258,246,12.06,97.9,39.7,34.7,2.0,1
2.2,28620,220,11.86,89.9,82.9,26.3,8.3,1
6.1,76207,115,12.0,96.0,79.3,30.1,53.2,0
11.8,117875,413,12.18,93.9,75.0,29.7,2.0,1
3.3,61063,86,11.72,86.2,30.1,32.8,56.8,0
8.2,134564,450,12.36,92.5,97.2,34.0,11.2,1
9.3,132388,142,12.76,78.9,77.0,37.3,27.1,1
3.2,51801,123,11.94,94.9,8.8,30.9,45.8,0
8.9,103731,38,13.03,92.9,36.4,30.9,84.5,0
4.7,103555,254,12.58,95.2,45.7,36.2,3.4,1
7.8,117625,88,12.81,97.9,48.1,33.4,53.3,0
7.8,115618,56,12.05,93.4,52.5,36.6,59.8,0
6.7,112229,28,12.73,92.0,47.6,33.4,74.8,0
1.5,31116,102,11.86,85.3,52.4,28.8,56.1,0
10.1,151321,126,12.75,86.4,43.4,28.2,37.2,0
4.2,55676,183,12.43,98.7,15.0,27.5,7.1,1
2.6,43122,281,12.6,100.3,93.5,34.6,2.0,1
1.0,21573,54,11.82,89.5,42.5,36.3,69.9,0
7.3,134121,174,11.95,91.3,88.6,38.4,23.5,1
8.3,152566,67,12.62,85.1,39.0,35.2,63.1,0
0.7,14989,227,11.92,98.6,30.7,36.2,2.0,1
6.4,81313,211,12.56,95.3,76.2,30.6,7.4,1
3.1,45345,103,11.73,103.6,5.0,28.8,46.5,0
7.9,118515,153,12.73,85.3,67.2,35.2,23.8,1
2.5,45978,56,11.8,88.5,22.0,33.8,88.1,0
8.4,92209,102,12.6,92.5,6.6,32.8,48.8,0
4.9,94051,227,12.63,95.2,21.0,33.7,2.9,1
11.3,161809,98,12.04,89.6,42.9,33.5,39.2,0
2.1,33321,64,12.61,85.3,75.9,36.6,65.8,0
4.4,53070,113,12.47,96.7,5.0,36.6,49.6,0
1.8,24867,226,12.11,95.7,37.5,34.2,2.0,1
11.1,188400,68,11.9,85.0,9.8,35.2,68.0,0
10.6,157006,55,11.47,99.8,63.2,34.1,73.5,0
3.5,45904,156,12.51,98.6,13.4,31.0,22.4,0
8.1,96139,214,11.65,91.9,16.6,34.9,10.4,1
9.9,134088,54,12.39,91.5,79.6,28.0,76.3,0
6.9,128811,50,12.23,94.6,83.9,35.9,89.8,0
6.6,94884,43,12.66,85.4,14.5,28.7,68.6,0
3.3,38896,88,12.21,91.2,88.5,33.4,57.4,0
1.6,29743,101,12.2,77.0,44.0,29.8,50.3,0
10.8,153276,164,12.68,96.7,29.9,34.3,7.3,0
10.9,83609,131,12.5,80.9,85.0,32.4,44.1,0
7.8,111768,117,12.49,100.8,54.8,27.4,64.7,0
4.4,67288,80,12.56,88.9,23.2,33.8,59.8,0
4.5,75281,228,11.66,89.6,65.3,30.7,5.1,1
8.8,173361,85,12.69,86.9,87.0,35.3,58.3,0
10.8,187289,450,12.63,89.1,26.4,32.5,2.0,1
10.7,149968,139,11.89,100.2,41.6,33.8,12.3,1
9.5,109131,33,12.24,75.0,49.5,29.4,76.4,0
7.9,168075,152,12.33,99.3,63.9,30.6,10.1,1
1.5,26378,77,12.29,93.2,35.7,31.0,78.5,0
2.4,39797,140,12.5,83.2,83.7,35.2,28.8,1
10.8,154358,28,12.99,84.0,55.0,37.9,82.5,0
7.5,116231,59,12.84,101.9,75.0,29.9,79.4,0
0.6,17164,239,11.76,84.9,46.7,35.9,2.0,1
1.7,24680,57,12.63,83.5,60.0,25.6,63.8,0
8.1,105474,225,12.95,98.4,38.9,28.7,2.0,1
0.6,9958,48,12.52,93.2,15.5,29.4,86.3,0
2.3,36834,129,12.84,84.9,80.3,28.2,40.5,0
6.8,90066,156,13.2,92.4,20.2,27.4,24.5,0
8.5,127019,96,12.81,84.3,71.0,33.8,52.8,0
8.0,110723,52,12.46,98.2,65.4,31.8,78.0,0
3.1,59812,66,12.82,97.9,29.1,33.7,69.0,0
8.7,70824,48,12.42,94.5,73.3,34.7,65.7,0
3.2,59981,78,12.36,93.4,16.4,33.3,61.5,0
4.2,82507,156,12.19,102.4,90.4,34.6,11.3,1
9.1,83187,325,13.05,91.0,76.0,32.3,2.0,1
8.0,112323,269,11.98,83.3,32.6,28.7,2.0,1
10.3,139426,177,13.04,93.9,12.5,35.9,36.9,0
8.1,89931,214,12.57,104.6,98.0,30.6,2.0,1
7.0,92558,165,11.72,84.4,5.0,29.5,3.5,1
1.6,25242,68,12.52,88.7,38.1,31.9,64.7,0
4.7,96847,306,11.4,93.7,14.1,29.6,5.2,1
3.5,61028,152,12.63,90.6,34.6,31.2,40.7,0
3.3,59624,110,12.75,84.6,39.1,33.6,39.1,0
11.7,192540,38,12.08,98.3,39.3,33.6,65.2,0
5.0,62744,96,12.41,106.1,38.7,29.6,60.2,0
10.8,140705,80,13.2,92.3,34.9,30.9,46.2,0
7.8,120740,252,12.12,85.1,71.0,35.9,2.0,1
9.6,108196,131,11.87,80.9,36.3,34.1,31.9,0
6.3,108273,69,13.02,92.7,21.3,39.1,64.8,0
7.1,99130,450,13.2,98.2,17.1,36.3,6.9,1
6.2,85106,55,12.35,94.1,85.1,36.2,65.7,0
2.7,47127,103,12.81,91.0,16.3,28.1,45.8,0
8.8,137938,48,12.95,87.2,12.1,34.9,75.9,0
3.7,51395,176,12.02,83.9,5.0,32.3,13.5,0
0.8,19327,319,12.13,96.4,45.0,30.7,2.0,1
7.9,92049,73,12.9,96.9,12.6,33.0,67.9,0
2.5,47824,231,13.11,81.0,24.6,35.5,8.4,1
11.3,179061,65,12.6,101.3,98.0,34.1,71.4,1
11.5,158026,301,11.95,94.7,60.3,29.7,4.5,1
11.0,172320,173,13.2,100.1,83.7,34.9,2.0,1
4.8,58924,212,12.11,82.3,35.6,30.5,2.0,1
0.7,17318,35,12.2,82.1,53.5,33.2,87.3,0
11.2,155888,378,12.5,90.0,30.4,31.5,7.3,1
5.4,73513,172,13.05,94.3,59.2,31.8,7.1,0
11.6,200452,77,12.73,102.7,36.2,35.0,54.9,0
11.6,151702,222,12.54,95.6,41.7,29.2,2.0,1
10.3,115328,47,12.56,89.4,71.0,38.7,81.9,0
3.9,45745,237,12.37,84.3,5.0,26.7,10.3,1
4.9,84313,36,12.6,99.0,58.7,30.6,77.9,0
10.3,116822,176,11.21,84.7,54.7,33.7,21.1,0
4.1,78688,104,12.22,101.6,85.8,34.4,49.2,1
2.4,28039,43,12.46,89.2,68.8,32.2,77.3,0
6.9,135584,48,11.83,101.3,6.4,32.3,73.9,1
11.3,167067,23,12.52,95.4,67.9,33.8,96.0,0
8.5,124525,109,12.26,90.1,61.4,31.8,48.8,0
7.1,92775,75,13.14,87.6,12.4,37.0,85.3,0
1.6,30546,114,13.06,88.8,57.9,35.2,34.5,0
7.6,108077,64,12.14,93.8,66.4,35.3,73.2,0
11.9,204785,50,12.28,91.5,61.9,29.4,69.7,0
2.1,38206,176,12.32,87.1,77.9,32.2,3.3,1
6.5,97659,39,12.15,89.9,9.7,31.5,80.4,0
10.6,145950,271,12.44,91.5,23.2,29.3,2.0,1
9.0,133343,230,12.01,77.2,93.4,33.7,29.2,1
8.5,135190,145,11.84,94.0,13.8,30.8,25.7,1
8.6,87300,141,12.63,84.6,96.2,34.6,18.2,1
4.6,54453,290,12.63,83.5,12.2,29.1,2.7,1
3.9,64690,34,11.99,80.0,66.4,38.0,62.3,0
9.8,151436,46,12.75,79.3,37.1,29.6,76.1,0
9.8,142329,53,12.07,82.2,25.5,33.2,73.7,0
10.5,153401,198,12.46,86.4,33.6,35.0,8.9,1
11.0,172328,40,12.72,103.7,87.3,30.7,89.7,1
6.4,86884,138,12.33,87.6,96.8,35.2,26.0,1
6.3,82538,450,12.55,92.2,60.7,28.6,2.0,1
9.7,142978,243,12.12,93.6,41.9,37.1,2.0,1
8.0,100181,104,12.26,91.9,38.1,32.5,36.7,0
8.6,131788,45,12.26,90.5,88.1,30.6,80.6,1
9.7,102649,215,12.01,83.2,14.9,31.5,2.0,1
10.7,186167,130,12.27,100.4,17.9,35.1,30.9,0
4.4,74270,36,11.65,102.7,66.1,30.6,72.0,1
4.8,72843,44,12.13,80.1,66.1,30.1,83.5,0
1.6,30440,283,12.22,84.3,69.9,31.8,18.0,1
7.2,133979,138,12.23,89.2,98.0,28.7,18.0,1
0.9,19984,237,12.24,84.7,61.8,38.3,2.0,1
5.9,57719,246,12.32,94.3,35.1,30.7,2.0,1
6.7,82299,121,12.57,86.3,70.3,35.2,39.7,0
3.8,53635,98,12.74,105.1,35.5,33.2,53.2,0
7.3,107044,73,12.06,98.7,57.6,29.3,59.0,0
0.9,18187,53,11.81,92.4,78.2,32.5,71.5,1
0.9,16904,79,11.88,97.7,24.1,35.0,64.2,0
10.0,150894,204,12.13,98.2,38.2,31.9,10.4,1
4.6,62350,121,12.19,87.3,13.6,36.3,19.9,0
2.0,33814,289,12.0,85.7,81.8,35.8,2.0,1
6.5,74178,95,11.77,91.5,58.3,35.4,54.6,0
9.4,119314,128,12.14,96.6,88.2,31.0,26.8,1
3.0,40482,140,12.43,91.9,80.7,29.0,47.3,0
7.7,92258,127,12.62,80.7,5.0,30.5,30.1,0
1.5,34088,170,12.1,85.8,70.1,33.1,14.6,1
1.1,15654,50,12.16,90.5,11.1,34.2,80.6,0
6.6,144592,101,11.93,90.5,30.3,25.6,43.6,0
6.7,107372,53,12.34,103.8,13.8,32.5,55.0,0
7.8,122268,97,11.97,82.0,72.0,33.0,47.2,0
8.9,113854,115,12.61,94.3,28.1,31.6,52.8,0
11.7,193083,141,11.55,100.7,25.2,36.6,26.1,1
6.4,89180,368,12.19,105.8,98.0,33.8,2.0,1
4.2,64719,128,12.49,88.4,48.1,36.7,45.3,0
9.6,199400,177,12.43,94.2,32.7,31.8,8.2,0
3.6,54960,95,13.2,94.7,21.8,35.5,47.4,0
5.5,97004,141,12.51,92.3,15.8,37.7,31.0,0
1.4,24726,25,11.9,90.4,60.6,36.7,95.2,0
0.8,15781,54,12.31,93.8,18.7,29.0,96.8,0
11.6,223014,89,11.55,75.0,98.0,31.7,63.8,1
10.1,132868,88,12.31,95.4,62.8,31.4,67.6,0
8.5,166163,18,11.98,91.8,61.7,34.1,85.9,0
5.2,85108,29,12.76,89.6,83.3,34.7,75.2,1
2.5,40291,79,12.1,104.3,97.1,29.8,61.1,1
2.3,45203,419,12.3,86.6,5.0,32.7,2.0,1
3.4,61398,69,12.06,88.4,19.6,26.0,54.7,0
6.8,112871,111,13.13,103.9,39.0,37.1,42.7,0
8.7,95946,63,12.21,85.6,15.6,30.9,72.5,0
8.1,101980,125,13.17,87.4,25.7,32.7,41.1,0
3.7,55788,71,12.72,90.0,17.0,31.5,69.5,0
11.5,163786,63,12.57,96.5,58.2,36.2,71.4,0
9.0,142916,113,12.52,92.4,25.9,23.4,38.4,0
6.9,104246,16,12.53,82.6,25.4,32.4,86.9,0
7.5,82879,42,11.48,87.5,83.1,32.2,67.0,1
5.3,81824,56,12.22,87.1,98.0,31.0,89.8,0
3.3,55078,24,12.73,90.5,5.3,38.0,88.1,0
4.6,80445,37,12.33,93.8,56.5,29.7,79.3,0
9.2,160309,57,11.72,93.7,65.6,35.0,62.2,1
0.7,20431,193,12.33,79.5,37.3,33.6,32.9,0
1.8,33254,130,13.12,97.9,70.1,36.5,24.3,1
1.0,18720,89,12.91,92.6,32.2,30.4,51.2,0
1.0,15585,63,12.32,100.0,31.5,30.2,72.7,0
10.3,161349,324,12.78,93.9,77.7,36.0,6.0,1
8.6,127595,68,12.19,98.2,93.2,33.9,75.6,1
6.0,94510,54,11.58,94.0,20.4,27.6,91.1,0
1.6,21293,124,11.93,99.8,30.3,30.8,43.1,0
6.2,76476,34,13.05,94.4,56.1,33.7,72.4,0
5.9,106083,67,12.23,90.4,5.0,35.2,63.9,0
2.5,37855,96,12.24,105.8,74.4,30.3,55.1,1
5.5,88693,238,12.22,96.8,98.0,23.2,20.7,1
5.1,79765,110,13.2,94.7,83.5,34.2,31.0,0
7.6,112394,177,13.08,82.7,47.1,28.6,23.5,0
7.8,130020,450,13.2,82.6,88.7,26.0,2.0,1
1.0,22936,49,12.28,92.9,42.7,23.4,83.9,0
4.8,70930,71,12.48,91.9,60.1,35.1,63.5,0
7.7,106428,95,11.67,87.0,45.7,32.9,44.1,0
6.3,91046,85,13.01,91.9,5.0,31.8,65.0,0
10.3,140809,79,11.82,101.3,16.5,36.9,67.0,0
8.1,120672,283,12.45,95.5,79.3,34.5,9.7,1
2.4,33362,173,11.86,83.6,69.2,37.7,13.4,1
1.3,26905,142,12.09,90.3,68.2,28.0,23.0,1
7.9,95597,57,11.97,85.8,46.2,32.4,55.9,0
0.8,18430,214,12.08,88.5,39.7,27.3,8.2,1
7.2,95853,383,12.11,88.3,17.7,31.8,4.2,1
11.3,205375,228,12.1,87.9,47.5,31.7,2.0,1
7.1,113123,45,12.73,82.8,53.6,34.5,72.1,0
5.0,90812,148,11.85,90.2,7.3,32.6,21.3,0
7.9,88159,30,12.45,87.4,98.0,34.5,70.2,0
5.8,89081,63,12.9,75.0,85.7,34.8,60.3,0
6.8,116903,40,12.12,104.3,62.3,39.4,68.7,0
11.3,167122,115,12.03,98.1,88.9,31.5,38.4,1
4.9,87730,157,12.25,88.6,98.0,29.5,14.1,1
11.6,149856,48,12.88,91.1,44.6,33.3,59.7,0
10.9,200300,69,12.44,83.4,42.3,29.9,85.7,0
2.8,59935,104,12.11,102.0,42.2,37.2,60.5,0
1.3,20547,81,12.57,103.3,49.0,31.6,51.7,0
1.7,26320,58,11.85,92.0,47.1,30.7,73.7,0
0.7,17825,71,12.66,97.7,43.4,31.0,68.7,0
1.6,37089,172,12.53,92.1,70.5,34.8,25.9,0
8.4,113912,39,12.21,82.3,45.5,32.0,72.3,0
1.3,25231,30,11.97,88.3,58.3,30.4,95.9,0
4.2,57507,83,11.95,91.9,31.4,37.8,53.0,0
10.2,114017,349,12.59,88.0,39.1,29.8,2.0,1
0.8,14835,135,12.9,89.6,45.6,32.6,39.7,0
9.9,115515,153,12.06,90.4,63.6,34.6,36.4,0
3.7,49276,77,12.56,90.5,5.0,27.3,87.4,0
1.9,33946,122,11.41,91.3,57.0,34.0,27.0,0
8.5,127256,44,12.09,84.1,81.1,29.1,85.0,1
7.7,144517,150,12.34,86.3,15.8,35.1,20.9,0
10.6,125561,303,11.94,82.7,80.4,29.4,7.8,1
9.0,149476,139,11.93,97.4,27.8,34.7,15.8,0
9.7,135079,254,12.05,77.3,5.0,36.0,2.0,1
3.7,61752,184,12.48,98.5,32.6,35.3,2.0,1
2.5,48266,48,12.27,100.0,5.0,33.3,76.8,0
9.1,111894,292,11.34,89.0,56.3,31.8,2.0,1
9.8,152152,48,11.4,75.0,29.7,30.7,82.6,0
11.9,174297,104,12.08,88.7,98.0,37.2,58.3,1
5.2,86273,55,12.56,90.6,68.8,30.3,78.5,0
4.8,75984,18,11.11,84.4,84.6,29.2,100.0,1
9.4,198633,82,12.13,87.7,38.7,34.6,63.2,0
4.4,57608,60,12.11,100.9,38.3,30.0,57.8,0
11.2,147885,117,12.97,95.3,29.6,29.5,55.1,0
10.4,132247,135,12.18,85.0,98.0,27.9,26.4,1
5.4,73120,39,12.52,80.6,57.8,31.0,89.6,0
9.1,121233,50,12.41,88.9,56.2,32.2,90.7,0
9.2,161569,120,11.39,89.6,76.1,33.3,44.6,1
1.7,34597,89,12.7,94.2,75.5,35.5,40.5,0
10.9,141943,171,12.45,87.5,18.1,34.2,5.3,0
6.3,80890,140,12.58,94.3,94.6,31.9,43.2,0
10.0,160130,221,13.2,103.6,43.5,31.9,2.0,1
4.2,61893,167,11.41,96.3,44.7,34.1,17.3,0
10.8,177909,98,13.13,90.7,88.3,36.6,58.6,1
5.0,80481,146,12.22,89.8,77.3,32.9,34.0,0
0.6,10901,46,12.48,88.7,25.1,31.0,79.8,0
10.9,202487,80,12.33,98.7,32.0,29.3,57.9,0
1.5,34156,182,12.16,86.9,66.6,27.9,5.9,1
4.2,56055,100,12.09,91.3,40.8,34.6,58.6,0
11.4,157613,220,12.5,91.3,60.9,34.3,5.5,1
11.4,170525,215,11.67,87.7,78.2,34.3,2.0,1
7.1,114470,233,12.69,82.1,57.3,32.1,10.8,1
7.8,127203,308,12.16,93.1,79.1,37.0,2.0,1
5.7,114727,101,11.84,90.6,71.2,31.0,41.0,0
3.9,59769,71,12.15,94.3,30.4,35.6,56.9,0
4.3,60535,140,12.92,87.5,37.3,32.4,20.2,0
8.2,93976,63,12.11,98.9,22.6,30.6,65.8,0
9.2,118320,129,12.51,85.3,53.6,34.4,47.8,0
9.6,136182,170,12.02,102.1,21.3,33.8,6.9,1
9.6,183258,168,12.69,79.6,5.0,33.6,17.9,0
1.5,22881,68,12.66,93.8,70.4,32.8,59.4,0
6.2,97962,58,13.18,94.1,13.2,32.4,68.4,0
1.2,22317,91,12.27,85.8,46.7,40.1,39.4,0
6.8,123177,41,12.65,93.8,51.0,36.3,77.3,0
5.6,115655,258,12.39,99.3,51.6,34.8,2.0,1
10.7,138387,87,12.93,76.6,5.0,32.9,61.9,0
4.5,65678,34,12.03,94.3,38.7,35.7,85.2,0
1.8,33244,24,12.69,75.0,72.2,34.2,76.0,0
2.1,36247,134,12.26,84.7,92.0,32.6,43.8,0
9.3,174439,152,12.32,101.6,90.1,31.5,26.1,1
7.6,127294,79,12.39,87.2,86.6,32.2,62.5,0
1.7,29687,46,12.46,83.4,52.8,22.4,76.9,0
1.5,27534,77,12.3,89.7,50.6,33.2,56.3,0
8.6,147958,73,12.45,104.4,50.4,30.9,65.7,0
1.3,26254,154,13.06,79.1,49.5,37.6,27.8,0
10.0,160137,142,12.79,84.2,75.7,32.6,11.5,1
8.6,150988,92,12.74,100.7,32.6,28.7,48.6,0
1.4,27775,37,12.15,103.1,61.7,32.3,79.0,0
1.5,29151,450,11.95,90.3,77.6,29.2,2.6,1
11.8,187848,78,12.78,82.9,32.7,34.0,72.9,0
4.8,72533,157,12.74,104.6,59.9,33.4,13.8,1
4.8,76535,37,13.01,101.4,65.4,35.6,76.5,0
9.8,171683,94,12.08,95.4,80.8,30.0,47.9,1
11.4,138405,25,12.25,85.7,11.6,32.6,79.5,0
11.8,179315,109,11.61,90.7,98.0,28.1,42.0,1
